wikidata_id,phd_romance,phd_germanic,phd_slavic
Q1454799,9.676070225805532,9.798007736730586,8.670819793760216
Q9174,9.050858624489347,9.640935760578536,8.726229771776845
Q205764,7.890529076262642,8.833374879701443,8.179812341395294
Q194417,7.929300268589245,8.469335584267077,7.929438500472692
Q162362,7.925370241092464,9.091163725675278,8.769022036165806
Q8084,8.087433576774947,8.336570250380625,8.483140770408617
Q131156,8.153319496180979,8.229506285757143,8.856082713938392
Q11419,8.483537097994944,8.937818631667795,8.627141328864777
Q185576,7.17663960272614,8.288483652756033,8.22988367115705
Q82339,9.380837332198936,10.344680744144075,8.43976538028043
Q5747,7.603324266473719,7.5165127389905715,7.879537385222884
Q152529,7.192227119664985,8.164898892058297,8.257840236647
Q81392,8.44872912914273,9.389429471795815,8.773031389513598
Q199962,7.51612878235442,8.066098199931863,7.968077566804473
Q241,8.936071508877673,8.732160015191248,9.01855685400836
Q11613,9.006996728605888,8.796245391330856,8.577796322671672
Q193462,9.542686163868822,9.808291367571872,9.387230661550872
Q607081,8.423423442520054,8.85055503289156,7.942669793559016
Q11829,8.03114810363968,8.223382352459678,7.561426090384682
Q41568,9.637007631226487,9.890614736768704,9.944544795048209
Q186323,10.387060357645293,10.310044312482159,10.235215162102584
Q648116,8.646705527168866,8.817780763231557,9.21905399937299
Q4152,8.18966073025079,8.801026236978794,9.07234858535833
Q57076990,8.90303422871323,9.523490592266498,9.852257415610099
Q80966,8.502078393761712,8.655124039323763,8.59785841072143
Q26303,8.216091046529154,8.166344009481909,8.052068031304595
Q99654,7.5614918197784675,7.721640870710776,7.793934839935977
Q217405,9.271086929916462,10.063985285552578,9.021391291546916
Q178869,10.181079009517928,10.260976928948262,9.595369817204084
Q49747,9.344738343995836,9.226254368501667,9.625162766944802
Q48584,8.460502544290517,9.083792837035533,9.595870809187318
Q72303,7.451858058360505,7.589366847499051,7.936786830010551
Q172858,7.565072603148811,8.074475374054408,7.647065737452069
Q202404,7.483995307768119,8.023826230830178,8.086546511509182
Q31057,8.751387227086916,9.665648439423908,8.895568799446487
Q237484,8.920381611066382,9.773083932739171,9.684903263676329
Q1138524,6.999424975870851,7.717612049698318,7.603067076728891
Q1988505,7.246794948722755,7.072506246458908,7.677327267278995
Q139849,7.997784596633666,8.405378903961735,8.644371675506969
Q185676,8.579532726692154,8.421025648431636,9.087669408200021
Q352,8.258053918332866,8.581183334501816,7.91665820388215
Q180089,8.728315131433266,9.126312411001738,9.224166490899524
Q80019,7.869112569196922,8.56729935119185,8.583389414583475
Q103955,9.631480510699088,9.832611683698895,10.238363253420633
Q202864,7.7351561760772425,9.251241272539964,8.281962809126565
Q464512,9.171345940927635,9.652405306718055,9.035996622969524
Q47293,7.3361364671053835,7.853940488119791,7.46435534508247
